subj,item,condition,order,region,position,RT
2,1,a,TSV,2,adv1,444
2,1,a,TSV,3,d2,462
2,1,a,TSV,4,na,714
2,1,a,TSV,5,adv2,442
2,1,a,TSV,6,v,383
2,1,a,TSV,7,-,2636
2,1,a,TSV,8,-,826
2,1,a,TSV,?,1,1689
2,8,b,SVO,0,adv1,370
2,8,b,SVO,1,d2,379
2,8,b,SVO,2,na,491
2,8,b,SVO,3,adv2,362
2,8,b,SVO,4,v,657
2,8,b,SVO,5,d1,367
2,8,b,SVO,6,np,411
2,8,b,SVO,7,-,968
2,8,b,SVO,8,-,408
2,8,b,SVO,9,-,641
2,8,b,SVO,?,1,2398
2,16,b,SVO,0,adv1,470
2,16,b,SVO,1,d2,514
2,16,b,SVO,2,na,467
2,16,b,SVO,3,adv2,467
2,16,b,SVO,4,v,417
2,16,b,SVO,5,d1,383
2,16,b,SVO,6,np,419
2,16,b,SVO,7,-,670
2,16,b,SVO,8,-,573
2,16,b,SVO,?,1,1300
2,5,a,TSV,0,d1,371
2,5,a,TSV,1,np,320
2,5,a,TSV,2,adv1,400
2,5,a,TSV,3,d2,374
2,5,a,TSV,4,na,346
2,5,a,TSV,5,adv2,334
2,5,a,TSV,6,v,356
2,5,a,TSV,7,-,381
2,5,a,TSV,8,-,353
2,5,a,TSV,9,-,746
2,5,a,TSV,?,1,1041
2,12,b,SVO,0,adv1,431
2,12,b,SVO,1,d2,634
2,12,b,SVO,2,na,527
2,12,b,SVO,3,adv2,424
2,12,b,SVO,4,v,493
2,12,b,SVO,5,d1,423
2,12,b,SVO,6,np,813
2,12,b,SVO,7,-,891
2,12,b,SVO,8,-,955
2,12,b,SVO,?,1,906
2,7,a,TSV,0,d1,400
2,7,a,TSV,1,np,371
2,7,a,TSV,2,adv1,353
2,7,a,TSV,3,d2,386
2,7,a,TSV,4,na,440
2,7,a,TSV,5,adv2,442
2,7,a,TSV,6,v,619
2,7,a,TSV,7,-,794
2,7,a,TSV,?,1,898
2,15,a,TSV,0,d1,474
2,15,a,TSV,1,np,394
2,15,a,TSV,2,adv1,393
2,15,a,TSV,3,d2,393
2,15,a,TSV,4,na,995
2,15,a,TSV,5,adv2,362
2,15,a,TSV,6,v,381
2,15,a,TSV,7,-,345
2,15,a,TSV,8,-,345
2,15,a,TSV,9,-,464
2,15,a,TSV,?,1,1072
2,9,a,TSV,0,d1,400
2,9,a,TSV,1,np,463
2,9,a,TSV,2,adv1,651
2,9,a,TSV,3,d2,522
2,9,a,TSV,4,na,466
2,9,a,TSV,5,adv2,451
2,9,a,TSV,6,v,538
2,9,a,TSV,7,-,669
2,9,a,TSV,8,-,5888
2,9,a,TSV,?,1,1146
2,11,a,TSV,0,d1,377
2,11,a,TSV,1,np,389
2,11,a,TSV,2,adv1,400
2,11,a,TSV,3,d2,387
2,11,a,TSV,4,na,453
2,11,a,TSV,5,adv2,385
2,11,a,TSV,6,v,375
2,11,a,TSV,7,-,320
2,11,a,TSV,8,-,478
2,11,a,TSV,?,1,1110
2,4,b,SVO,0,adv1,426
2,4,b,SVO,1,d2,335
2,4,b,SVO,2,na,387
2,4,b,SVO,3,adv2,406
2,4,b,SVO,4,v,415
2,4,b,SVO,5,d1,386
2,4,b,SVO,6,np,489
2,4,b,SVO,7,-,362
2,4,b,SVO,8,-,784
2,4,b,SVO,?,1,2575
2,10,b,SVO,0,adv1,311
2,10,b,SVO,1,d2,288
2,10,b,SVO,2,na,328
2,10,b,SVO,3,adv2,329
2,10,b,SVO,4,v,340
2,10,b,SVO,5,d1,362
2,10,b,SVO,6,np,489
2,10,b,SVO,7,-,343
2,10,b,SVO,8,-,819
2,10,b,SVO,?,1,1683
2,14,b,SVO,0,adv1,256
2,14,b,SVO,1,d2,255
2,14,b,SVO,2,na,277
2,14,b,SVO,3,adv2,563
2,14,b,SVO,4,v,437
2,14,b,SVO,5,d1,510
2,14,b,SVO,6,np,872
2,14,b,SVO,7,-,992
2,14,b,SVO,8,-,375
2,14,b,SVO,9,-,663
2,14,b,SVO,?,1,1846
2,6,b,SVO,0,adv1,421
2,6,b,SVO,1,d2,318
2,6,b,SVO,2,na,406
2,6,b,SVO,3,adv2,382
2,6,b,SVO,4,v,345
2,6,b,SVO,5,d1,327
2,6,b,SVO,6,np,502
2,6,b,SVO,7,-,326
2,6,b,SVO,8,-,655
2,6,b,SVO,?,1,1906
2,2,b,SVO,0,adv1,305
2,2,b,SVO,1,d2,288
2,2,b,SVO,2,na,280
2,2,b,SVO,3,adv2,250
2,2,b,SVO,4,v,242
2,2,b,SVO,5,d1,326
2,2,b,SVO,6,np,248
2,2,b,SVO,7,-,265
2,2,b,SVO,8,-,263
2,2,b,SVO,?,1,1195
2,13,a,TSV,0,d1,322
2,13,a,TSV,1,np,360
2,13,a,TSV,2,adv1,331
2,13,a,TSV,3,d2,303
2,13,a,TSV,4,na,313
2,13,a,TSV,5,adv2,310
2,13,a,TSV,6,v,423
2,13,a,TSV,7,-,692
2,13,a,TSV,8,-,545
2,13,a,TSV,?,1,1159
2,3,a,TSV,0,d1,436
2,3,a,TSV,1,np,370
2,3,a,TSV,2,adv1,320
2,3,a,TSV,3,d2,308
2,3,a,TSV,4,na,332
2,3,a,TSV,5,adv2,337
2,3,a,TSV,6,v,404
2,3,a,TSV,7,-,849
2,3,a,TSV,8,-,411
2,3,a,TSV,9,-,1860
2,3,a,TSV,?,1,1583
3,11,a,TSV,0,d1,746
3,11,a,TSV,1,np,548
3,11,a,TSV,2,adv1,756
3,11,a,TSV,3,d2,733
3,11,a,TSV,4,na,690
3,11,a,TSV,5,adv2,727
3,11,a,TSV,6,v,644
3,11,a,TSV,7,-,1018
3,11,a,TSV,8,-,1220
3,11,a,TSV,?,1,3201
3,1,a,TSV,0,d1,813
3,1,a,TSV,1,np,799
3,1,a,TSV,2,adv1,522
3,1,a,TSV,3,d2,656
3,1,a,TSV,4,na,664
3,1,a,TSV,5,adv2,530
3,1,a,TSV,6,v,483
3,1,a,TSV,7,-,1017
3,1,a,TSV,8,-,799
3,1,a,TSV,?,1,2316
3,13,a,TSV,0,d1,656
3,13,a,TSV,1,np,676
3,13,a,TSV,2,adv1,982
3,13,a,TSV,3,d2,645
3,13,a,TSV,4,na,603
3,13,a,TSV,5,adv2,584
3,13,a,TSV,6,v,767
3,13,a,TSV,7,-,1022
3,13,a,TSV,8,-,788
3,13,a,TSV,?,1,1584
3,3,a,TSV,0,d1,763
3,3,a,TSV,1,np,714
3,3,a,TSV,2,adv1,766
3,3,a,TSV,3,d2,887
3,3,a,TSV,4,na,829
3,3,a,TSV,5,adv2,720
3,3,a,TSV,6,v,601
3,3,a,TSV,7,-,819
3,3,a,TSV,8,-,630
3,3,a,TSV,9,-,862
3,3,a,TSV,?,1,1878
3,12,b,SVO,0,adv1,561
3,12,b,SVO,1,d2,621
3,12,b,SVO,2,na,908
3,12,b,SVO,3,adv2,1018
3,12,b,SVO,4,v,638
3,12,b,SVO,5,d1,685
3,12,b,SVO,6,np,594
3,12,b,SVO,7,-,799
3,12,b,SVO,8,-,800
3,12,b,SVO,?,1,1155
3,2,b,SVO,0,adv1,542
3,2,b,SVO,1,d2,642
3,2,b,SVO,2,na,489
3,2,b,SVO,3,adv2,540
3,2,b,SVO,4,v,568
3,2,b,SVO,5,d1,578
3,2,b,SVO,6,np,664
3,2,b,SVO,7,-,800
3,2,b,SVO,8,-,679
3,2,b,SVO,?,1,2027
3,15,a,TSV,0,d1,628
3,15,a,TSV,1,np,881
3,15,a,TSV,2,adv1,760
3,15,a,TSV,3,d2,689
3,15,a,TSV,4,na,692
3,15,a,TSV,5,adv2,585
3,15,a,TSV,6,v,668
3,15,a,TSV,7,-,944
3,15,a,TSV,8,-,660
3,15,a,TSV,9,-,709
3,15,a,TSV,?,1,1838
3,10,b,SVO,0,adv1,880
3,10,b,SVO,1,d2,773
3,10,b,SVO,2,na,677
3,10,b,SVO,3,adv2,705
3,10,b,SVO,4,v,571
3,10,b,SVO,5,d1,740
3,10,b,SVO,6,np,556
3,10,b,SVO,7,-,1090
3,10,b,SVO,8,-,701
3,10,b,SVO,?,1,1777
3,7,a,TSV,0,d1,662
3,7,a,TSV,1,np,556
3,7,a,TSV,2,adv1,554
3,7,a,TSV,3,d2,545
3,7,a,TSV,4,na,641
3,7,a,TSV,5,adv2,640
3,7,a,TSV,6,v,618
3,7,a,TSV,7,-,753
3,7,a,TSV,?,1,1138
3,9,a,TSV,0,d1,691
3,9,a,TSV,1,np,594
3,9,a,TSV,2,adv1,651
3,9,a,TSV,3,d2,575
3,9,a,TSV,4,na,828
3,9,a,TSV,5,adv2,504
3,9,a,TSV,6,v,657
3,9,a,TSV,7,-,561
3,9,a,TSV,8,-,832
3,9,a,TSV,?,1,1235
3,8,b,SVO,0,adv1,544
3,8,b,SVO,1,d2,528
3,8,b,SVO,2,na,542
