subj,item,condition,order,complexity,constituent,position,Q,RT
2,24,a,TSV,RC,RC-V2,15,-,483
2,24,a,TSV,RC,DE,16,-,420
2,24,a,TSV,RC,HN,17,-,459
2,24,a,TSV,RC,ADV,18,-,388
2,24,a,TSV,RC,quantifier,19,-,310
2,24,a,TSV,RC,Main-V1,20,-,474
2,24,a,TSV,RC,Main-V2,21,-,1057
2,24,a,TSV,RC,,?,1,3578
3,3,a,TSV,RC,comma,11,-,444
3,3,a,TSV,RC,DCL,12,-,478
3,3,a,TSV,RC,DP,13,-,319
3,3,a,TSV,RC,RC-V1,14,-,350
3,3,a,TSV,RC,RC-V2,15,-,412
3,3,a,TSV,RC,DE,16,-,329
3,3,a,TSV,RC,HN,17,-,295
3,3,a,TSV,RC,ADV,18,-,683
3,3,a,TSV,RC,quantifier,19,-,290
3,3,a,TSV,RC,Main-V1,20,-,400
3,3,a,TSV,RC,Main-V2,21,-,1764
3,3,a,TSV,RC,,?,1,3433
3,7,a,TSV,RC,comma,11,-,220
3,7,a,TSV,RC,DCL,12,-,444
3,7,a,TSV,RC,DP,13,-,323
3,7,a,TSV,RC,RC-V1,14,-,334
3,7,a,TSV,RC,RC-V2,15,-,410
3,7,a,TSV,RC,DE,16,-,229
3,7,a,TSV,RC,HN,17,-,280
3,7,a,TSV,RC,ADV,18,-,463
3,7,a,TSV,RC,quantifier,19,-,410
3,7,a,TSV,RC,Main-V1,20,-,324
3,7,a,TSV,RC,Main-V2,21,-,315
3,7,a,TSV,RC,,?,1,6502
3,11,a,TSV,RC,comma,11,-,205
3,11,a,TSV,RC,DCL,12,-,279
3,11,a,TSV,RC,DP,13,-,229
3,11,a,TSV,RC,RC-V1,14,-,189
3,11,a,TSV,RC,RC-V2,15,-,210
3,11,a,TSV,RC,DE,16,-,205
3,11,a,TSV,RC,HN,17,-,220
3,11,a,TSV,RC,ADV,18,-,221
3,11,a,TSV,RC,quantifier,19,-,364
3,11,a,TSV,RC,Main-V1,20,-,211
3,11,a,TSV,RC,Main-V2,21,-,708
3,11,a,TSV,RC,,?,1,1736
3,15,a,TSV,RC,comma,11,-,189
3,15,a,TSV,RC,DCL,12,-,384
3,15,a,TSV,RC,DP,13,-,174
3,15,a,TSV,RC,RC-V1,14,-,169
3,15,a,TSV,RC,RC-V2,15,-,184
3,15,a,TSV,RC,DE,16,-,195
3,15,a,TSV,RC,HN,17,-,209
3,15,a,TSV,RC,ADV,18,-,201
3,15,a,TSV,RC,quantifier,19,-,274
3,15,a,TSV,RC,Main-V1,20,-,306
3,15,a,TSV,RC,Main-V2,21,-,434
3,15,a,TSV,RC,,?,1,3065
3,19,a,TSV,RC,comma,11,-,225
3,19,a,TSV,RC,DCL,12,-,187
3,19,a,TSV,RC,DP,13,-,186
3,19,a,TSV,RC,RC-V1,14,-,389
3,19,a,TSV,RC,RC-V2,15,-,209
3,19,a,TSV,RC,DE,16,-,186
3,19,a,TSV,RC,HN,17,-,191
3,19,a,TSV,RC,ADV,18,-,188
3,19,a,TSV,RC,quantifier,19,-,205
3,19,a,TSV,RC,Main-V1,20,-,216
3,19,a,TSV,RC,Main-V2,21,-,385
3,19,a,TSV,RC,,?,1,1925
3,23,a,TSV,RC,comma,11,-,410
3,23,a,TSV,RC,DCL,12,-,224
3,23,a,TSV,RC,DP,13,-,195
3,23,a,TSV,RC,RC-V1,14,-,209
3,23,a,TSV,RC,RC-V2,15,-,215
3,23,a,TSV,RC,DE,16,-,210
3,23,a,TSV,RC,HN,17,-,191
3,23,a,TSV,RC,ADV,18,-,199
3,23,a,TSV,RC,quantifier,19,-,220
3,23,a,TSV,RC,Main-V1,20,-,306
3,23,a,TSV,RC,Main-V2,21,-,455
3,23,a,TSV,RC,,?,1,1740
4,2,a,TSV,RC,comma,11,-,618
4,2,a,TSV,RC,DCL,12,-,284
4,2,a,TSV,RC,DP,13,-,558
4,2,a,TSV,RC,RC-V1,14,-,1160
4,2,a,TSV,RC,RC-V2,15,-,274
4,2,a,TSV,RC,DE,16,-,987
4,2,a,TSV,RC,HN,17,-,320
4,2,a,TSV,RC,ADV,18,-,215
4,2,a,TSV,RC,quantifier,19,-,380
4,2,a,TSV,RC,Main-V1,20,-,290
4,2,a,TSV,RC,Main-V2,21,-,534
4,2,a,TSV,RC,,?,1,2647
4,6,a,TSV,RC,comma,11,-,368
4,6,a,TSV,RC,DCL,12,-,274
4,6,a,TSV,RC,DP,13,-,290
4,6,a,TSV,RC,RC-V1,14,-,233
4,6,a,TSV,RC,RC-V2,15,-,613
4,6,a,TSV,RC,DE,16,-,704
4,6,a,TSV,RC,HN,17,-,374
4,6,a,TSV,RC,ADV,18,-,838
4,6,a,TSV,RC,quantifier,19,-,275
4,6,a,TSV,RC,Main-V1,20,-,315
4,6,a,TSV,RC,Main-V2,21,-,614
4,6,a,TSV,RC,,?,1,2418
4,10,a,TSV,RC,comma,11,-,393
4,10,a,TSV,RC,DCL,12,-,329
4,10,a,TSV,RC,DP,13,-,308
4,10,a,TSV,RC,RC-V1,14,-,492
4,10,a,TSV,RC,RC-V2,15,-,399
